"";"IFBL";"ifbluurhok";"Xcoord";"Ycoord"
"1";"A45611";"a4-56-11";152012;240180
"2";"A45612";"a4-56-12";152012;240180
"3";"A45613";"a4-56-13";152012;240180
"4";"A45614";"a4-56-14";152012;240180
"5";"A45621";"a4-56-21";152012;240180
"6";"A45622";"a4-56-22";152012;240180
"7";"A45623";"a4-56-23";152012;240180
"8";"A45624";"a4-56-24";152012;240180
"9";"A45631";"a4-56-31";152012;240180
"10";"A45632";"a4-56-32";152012;240180
"11";"A45633";"a4-56-33";152012;240180
"12";"A45634";"a4-56-34";152012;240180
"13";"A45641";"a4-56-41";152012;240180
"14";"A45642";"a4-56-42";152012;240180
"15";"A45643";"a4-56-43";152012;240180
"16";"A45644";"a4-56-44";152012;240180
"17";"A45711";"a4-57-11";156012;240180
"18";"A45712";"a4-57-12";156012;240180
"19";"A45713";"a4-57-13";156012;240180
"20";"A45714";"a4-57-14";156012;240180
"21";"A45721";"a4-57-21";156012;240180
"22";"A45722";"a4-57-22";156012;240180
"23";"A45723";"a4-57-23";156012;240180
"24";"A45724";"a4-57-24";156012;240180
"25";"A45731";"a4-57-31";156012;240180
"26";"A45732";"a4-57-32";156012;240180
"27";"A45733";"a4-57-33";156012;240180
"28";"A45734";"a4-57-34";156012;240180
"29";"A45741";"a4-57-41";156012;240180
"30";"A45742";"a4-57-42";156012;240180
"31";"A45743";"a4-57-43";156012;240180
"32";"A45744";"a4-57-44";156012;240180
"33";"A45811";"a4-58-11";160012;240180
"34";"A45812";"a4-58-12";160012;240180
"35";"A45813";"a4-58-13";160012;240180
"36";"A45814";"a4-58-14";160012;240180
"37";"A45821";"a4-58-21";160012;240180
"38";"A45822";"a4-58-22";160012;240180
"39";"A45823";"a4-58-23";160012;240180
"40";"A45824";"a4-58-24";160012;240180
"41";"A45831";"a4-58-31";160012;240180
"42";"A45832";"a4-58-32";160012;240180
"43";"A45833";"a4-58-33";160012;240180
"44";"A45834";"a4-58-34";160012;240180
"45";"A45841";"a4-58-41";160012;240180
"46";"A45842";"a4-58-42";160012;240180
"47";"A45843";"a4-58-43";160012;240180
"48";"A45844";"a4-58-44";160012;240180
"49";"A54411";"a5-44-11";176012;244180
"50";"A54412";"a5-44-12";176012;244180
"51";"A54413";"a5-44-13";176012;244180
"52";"A54414";"a5-44-14";176012;244180
"53";"A54421";"a5-44-21";176012;244180
"54";"A54422";"a5-44-22";176012;244180
"55";"A54423";"a5-44-23";176012;244180
"56";"A54424";"a5-44-24";176012;244180
"57";"A54431";"a5-44-31";176012;244180
"58";"A54432";"a5-44-32";176012;244180
"59";"A54433";"a5-44-33";176012;244180
"60";"A54434";"a5-44-34";176012;244180
"61";"A54441";"a5-44-41";176012;244180
"62";"A54442";"a5-44-42";176012;244180
"63";"A54443";"a5-44-43";176012;244180
"64";"A54444";"a5-44-44";176012;244180
"65";"A54511";"a5-45-11";180012;244180
"66";"A54512";"a5-45-12";180012;244180
"67";"A54513";"a5-45-13";180012;244180
"68";"A54514";"a5-45-14";180012;244180
"69";"A54521";"a5-45-21";180012;244180
"70";"A54522";"a5-45-22";180012;244180
"71";"A54523";"a5-45-23";180012;244180
"72";"A54524";"a5-45-24";180012;244180
"73";"A54531";"a5-45-31";180012;244180
"74";"A54532";"a5-45-32";180012;244180
"75";"A54533";"a5-45-33";180012;244180
"76";"A54534";"a5-45-34";180012;244180
"77";"A54541";"a5-45-41";180012;244180
"78";"A54542";"a5-45-42";180012;244180
"79";"A54543";"a5-45-43";180012;244180
"80";"A54544";"a5-45-44";180012;244180
"81";"A55111";"a5-51-11";164012;240180
"82";"A55112";"a5-51-12";164012;240180
"83";"A55113";"a5-51-13";164012;240180
"84";"A55114";"a5-51-14";164012;240180
"85";"A55121";"a5-51-21";164012;240180
"86";"A55122";"a5-51-22";164012;240180
"87";"A55123";"a5-51-23";164012;240180
"88";"A55124";"a5-51-24";164012;240180
"89";"A55131";"a5-51-31";164012;240180
"90";"A55132";"a5-51-32";164012;240180
"91";"A55133";"a5-51-33";164012;240180
"92";"A55134";"a5-51-34";164012;240180
"93";"A55141";"a5-51-41";164012;240180
"94";"A55142";"a5-51-42";164012;240180
"95";"A55143";"a5-51-43";164012;240180
"96";"A55144";"a5-51-44";164012;240180
"97";"A55311";"a5-53-11";172012;240180
"98";"A55312";"a5-53-12";172012;240180
"99";"A55313";"a5-53-13";172012;240180
"100";"A55314";"a5-53-14";172012;240180
"101";"A55321";"a5-53-21";172012;240180
"102";"A55322";"a5-53-22";172012;240180
"103";"A55323";"a5-53-23";172012;240180
"104";"A55324";"a5-53-24";172012;240180
"105";"A55331";"a5-53-31";172012;240180
"106";"A55332";"a5-53-32";172012;240180
"107";"A55333";"a5-53-33";172012;240180
"108";"A55334";"a5-53-34";172012;240180
"109";"A55341";"a5-53-41";172012;240180
"110";"A55342";"a5-53-42";172012;240180
"111";"A55343";"a5-53-43";172012;240180
"112";"A55344";"a5-53-44";172012;240180
"113";"A55411";"a5-54-11";176012;240180
"114";"A55412";"a5-54-12";176012;240180
"115";"A55413";"a5-54-13";176012;240180
"116";"A55414";"a5-54-14";176012;240180
"117";"A55421";"a5-54-21";176012;240180
"118";"A55422";"a5-54-22";176012;240180
"119";"A55423";"a5-54-23";176012;240180
"120";"A55424";"a5-54-24";176012;240180
"121";"A55431";"a5-54-31";176012;240180
"122";"A55432";"a5-54-32";176012;240180
"123";"A55433";"a5-54-33";176012;240180
"124";"A55434";"a5-54-34";176012;240180
"125";"A55441";"a5-54-41";176012;240180
"126";"A55442";"a5-54-42";176012;240180
"127";"A55443";"a5-54-43";176012;240180
"128";"A55444";"a5-54-44";176012;240180
"129";"A55511";"a5-55-11";180012;240180
"130";"A55512";"a5-55-12";180012;240180
"131";"A55513";"a5-55-13";180012;240180
"132";"A55514";"a5-55-14";180012;240180
"133";"A55521";"a5-55-21";180012;240180
"134";"A55522";"a5-55-22";180012;240180
"135";"A55523";"a5-55-23";180012;240180
"136";"A55524";"a5-55-24";180012;240180
"137";"A55531";"a5-55-31";180012;240180
"138";"A55532";"a5-55-32";180012;240180
"139";"A55533";"a5-55-33";180012;240180
"140";"A55534";"a5-55-34";180012;240180
"141";"A55541";"a5-55-41";180012;240180
"142";"A55542";"a5-55-42";180012;240180
"143";"A55543";"a5-55-43";180012;240180
"144";"A55544";"a5-55-44";180012;240180
"145";"A55611";"a5-56-11";184012;240180
"146";"A55612";"a5-56-12";184012;240180
"147";"A55613";"a5-56-13";184012;240180
"148";"A55614";"a5-56-14";184012;240180
"149";"A55621";"a5-56-21";184012;240180
"150";"A55622";"a5-56-22";184012;240180
"151";"A55623";"a5-56-23";184012;240180
"152";"A55624";"a5-56-24";184012;240180
"153";"A55631";"a5-56-31";184012;240180
"154";"A55632";"a5-56-32";184012;240180
"155";"A55633";"a5-56-33";184012;240180
"156";"A55634";"a5-56-34";184012;240180
"157";"A55641";"a5-56-41";184012;240180
"158";"A55642";"a5-56-42";184012;240180
"159";"A55643";"a5-56-43";184012;240180
"160";"A55644";"a5-56-44";184012;240180
"161";"A55711";"a5-57-11";188012;240180
"162";"A55712";"a5-57-12";188012;240180
"163";"A55713";"a5-57-13";188012;240180
"164";"A55714";"a5-57-14";188012;240180
"165";"A55721";"a5-57-21";188012;240180
"166";"A55722";"a5-57-22";188012;240180
"167";"A55723";"a5-57-23";188012;240180
"168";"A55724";"a5-57-24";188012;240180
"169";"A55731";"a5-57-31";188012;240180
"170";"A55732";"a5-57-32";188012;240180
"171";"A55733";"a5-57-33";188012;240180
"172";"A55734";"a5-57-34";188012;240180
"173";"A55741";"a5-57-41";188012;240180
"174";"A55742";"a5-57-42";188012;240180
"175";"A55743";"a5-57-43";188012;240180
"176";"A55744";"a5-57-44";188012;240180
"177";"A55811";"a5-58-11";192012;240180
"178";"A55812";"a5-58-12";192012;240180
"179";"A55813";"a5-58-13";192012;240180
"180";"A55814";"a5-58-14";192012;240180
"181";"A55821";"a5-58-21";192012;240180
"182";"A55822";"a5-58-22";192012;240180
"183";"A55823";"a5-58-23";192012;240180
"184";"A55824";"a5-58-24";192012;240180
"185";"A55831";"a5-58-31";192012;240180
"186";"A55832";"a5-58-32";192012;240180
"187";"A55833";"a5-58-33";192012;240180
"188";"A55834";"a5-58-34";192012;240180
"189";"A55841";"a5-58-41";192012;240180
"190";"A55842";"a5-58-42";192012;240180
"191";"A55843";"a5-58-43";192012;240180
"192";"A55844";"a5-58-44";192012;240180
"193";"A64111";"a6-41-11";196012;244180
"194";"A64112";"a6-41-12";196012;244180
"195";"A64113";"a6-41-13";196012;244180
"196";"A64114";"a6-41-14";196012;244180
"197";"A64121";"a6-41-21";196012;244180
"198";"A64122";"a6-41-22";196012;244180
"199";"A64123";"a6-41-23";196012;244180
"200";"A64124";"a6-41-24";196012;244180
"201";"A64131";"a6-41-31";196012;244180
"202";"A64132";"a6-41-32";196012;244180
"203";"A64133";"a6-41-33";196012;244180
"204";"A64134";"a6-41-34";196012;244180
"205";"A64141";"a6-41-41";196012;244180
"206";"A64142";"a6-41-42";196012;244180
"207";"A64143";"a6-41-43";196012;244180
"208";"A64144";"a6-41-44";196012;244180
"209";"A65111";"a6-51-11";196012;240180
"210";"A65112";"a6-51-12";196012;240180
"211";"A65113";"a6-51-13";196012;240180
"212";"A65114";"a6-51-14";196012;240180
"213";"A65121";"a6-51-21";196012;240180
"214";"A65122";"a6-51-22";196012;240180
"215";"A65123";"a6-51-23";196012;240180
"216";"A65124";"a6-51-24";196012;240180
"217";"A65131";"a6-51-31";196012;240180
"218";"A65132";"a6-51-32";196012;240180
"219";"A65133";"a6-51-33";196012;240180
"220";"A65134";"a6-51-34";196012;240180
"221";"A65141";"a6-51-41";196012;240180
"222";"A65142";"a6-51-42";196012;240180
"223";"A65143";"a6-51-43";196012;240180
"224";"A65144";"a6-51-44";196012;240180
"225";"A65211";"a6-52-11";200012;240180
"226";"A65212";"a6-52-12";200012;240180
"227";"A65213";"a6-52-13";200012;240180
"228";"A65214";"a6-52-14";200012;240180
"229";"A65221";"a6-52-21";200012;240180
"230";"A65222";"a6-52-22";200012;240180
"231";"A65223";"a6-52-23";200012;240180
"232";"A65224";"a6-52-24";200012;240180
"233";"A65231";"a6-52-31";200012;240180
"234";"A65232";"a6-52-32";200012;240180
"235";"A65233";"a6-52-33";200012;240180
"236";"A65234";"a6-52-34";200012;240180
"237";"A65241";"a6-52-41";200012;240180
"238";"A65242";"a6-52-42";200012;240180
"239";"A65243";"a6-52-43";200012;240180
"240";"A65244";"a6-52-44";200012;240180
"241";"B14711";"b1-47-11";60012;224180
"242";"B14712";"b1-47-12";60012;224180
"243";"B14713";"b1-47-13";60012;224180
"244";"B14714";"b1-47-14";60012;224180
"245";"B14721";"b1-47-21";60012;224180
"246";"B14722";"b1-47-22";60012;224180
"247";"B14723";"b1-47-23";60012;224180
"248";"B14724";"b1-47-24";60012;224180
"249";"B14731";"b1-47-31";60012;224180
"250";"B14732";"b1-47-32";60012;224180
"251";"B14733";"b1-47-33";60012;224180
"252";"B14734";"b1-47-34";60012;224180
"253";"B14741";"b1-47-41";60012;224180
"254";"B14742";"b1-47-42";60012;224180
"255";"B14743";"b1-47-43";60012;224180
"256";"B14744";"b1-47-44";60012;224180
"257";"B14811";"b1-48-11";64012;224180
"258";"B14812";"b1-48-12";64012;224180
"259";"B14813";"b1-48-13";64012;224180
"260";"B14814";"b1-48-14";64012;224180
"261";"B14821";"b1-48-21";64012;224180
"262";"B14822";"b1-48-22";64012;224180
"263";"B14823";"b1-48-23";64012;224180
"264";"B14824";"b1-48-24";64012;224180
"265";"B14831";"b1-48-31";64012;224180
"266";"B14832";"b1-48-32";64012;224180
"267";"B14833";"b1-48-33";64012;224180
"268";"B14834";"b1-48-34";64012;224180
"269";"B14841";"b1-48-41";64012;224180
"270";"B14842";"b1-48-42";64012;224180
"271";"B14843";"b1-48-43";64012;224180
"272";"B14844";"b1-48-44";64012;224180
"273";"B15611";"b1-56-11";56012;220180
"274";"B15612";"b1-56-12";56012;220180
"275";"B15613";"b1-56-13";56012;220180
"276";"B15614";"b1-56-14";56012;220180
"277";"B15621";"b1-56-21";56012;220180
"278";"B15622";"b1-56-22";56012;220180
"279";"B15623";"b1-56-23";56012;220180
"280";"B15624";"b1-56-24";56012;220180
"281";"B15631";"b1-56-31";56012;220180
"282";"B15632";"b1-56-32";56012;220180
"283";"B15633";"b1-56-33";56012;220180
"284";"B15634";"b1-56-34";56012;220180
"285";"B15641";"b1-56-41";56012;220180
"286";"B15642";"b1-56-42";56012;220180
"287";"B15643";"b1-56-43";56012;220180
"288";"B15644";"b1-56-44";56012;220180
"289";"B15711";"b1-57-11";60012;220180
"290";"B15712";"b1-57-12";60012;220180
"291";"B15713";"b1-57-13";60012;220180
"292";"B15714";"b1-57-14";60012;220180
"293";"B15721";"b1-57-21";60012;220180
"294";"B15722";"b1-57-22";60012;220180
"295";"B15723";"b1-57-23";60012;220180
"296";"B15724";"b1-57-24";60012;220180
"297";"B15731";"b1-57-31";60012;220180
"298";"B15732";"b1-57-32";60012;220180
"299";"B15733";"b1-57-33";60012;220180
"300";"B15734";"b1-57-34";60012;220180
"301";"B15741";"b1-57-41";60012;220180
"302";"B15742";"b1-57-42";60012;220180
"303";"B15743";"b1-57-43";60012;220180
"304";"B15744";"b1-57-44";60012;220180
"305";"B15811";"b1-58-11";64012;220180
"306";"B15812";"b1-58-12";64012;220180
"307";"B15813";"b1-58-13";64012;220180
"308";"B15814";"b1-58-14";64012;220180
"309";"B15821";"b1-58-21";64012;220180
"310";"B15822";"b1-58-22";64012;220180
"311";"B15823";"b1-58-23";64012;220180
"312";"B15824";"b1-58-24";64012;220180
"313";"B15831";"b1-58-31";64012;220180
"314";"B15832";"b1-58-32";64012;220180
"315";"B15833";"b1-58-33";64012;220180
"316";"B15834";"b1-58-34";64012;220180
"317";"B15841";"b1-58-41";64012;220180
"318";"B15842";"b1-58-42";64012;220180
"319";"B15843";"b1-58-43";64012;220180
"320";"B15844";"b1-58-44";64012;220180
"321";"B23111";"b2-31-11";68012;228180
"322";"B23112";"b2-31-12";68012;228180
"323";"B23113";"b2-31-13";68012;228180
"324";"B23114";"b2-31-14";68012;228180
"325";"B23121";"b2-31-21";68012;228180
"326";"B23122";"b2-31-22";68012;228180
"327";"B23123";"b2-31-23";68012;228180
"328";"B23124";"b2-31-24";68012;228180
"329";"B23131";"b2-31-31";68012;228180
"330";"B23132";"b2-31-32";68012;228180
"331";"B23133";"b2-31-33";68012;228180
"332";"B23134";"b2-31-34";68012;228180
"333";"B23141";"b2-31-41";68012;228180
"334";"B23142";"b2-31-42";68012;228180
"335";"B23143";"b2-31-43";68012;228180
"336";"B23144";"b2-31-44";68012;228180
"337";"B23211";"b2-32-11";72012;228180
"338";"B23212";"b2-32-12";72012;228180
"339";"B23213";"b2-32-13";72012;228180
"340";"B23214";"b2-32-14";72012;228180
"341";"B23221";"b2-32-21";72012;228180
"342";"B23222";"b2-32-22";72012;228180
"343";"B23223";"b2-32-23";72012;228180
"344";"B23224";"b2-32-24";72012;228180
"345";"B23231";"b2-32-31";72012;228180
"346";"B23232";"b2-32-32";72012;228180
"347";"B23233";"b2-32-33";72012;228180
"348";"B23234";"b2-32-34";72012;228180
"349";"B23241";"b2-32-41";72012;228180
"350";"B23242";"b2-32-42";72012;228180
"351";"B23243";"b2-32-43";72012;228180
"352";"B23244";"b2-32-44";72012;228180
"353";"B23311";"b2-33-11";76012;228180
"354";"B23312";"b2-33-12";76012;228180
"355";"B23313";"b2-33-13";76012;228180
"356";"B23314";"b2-33-14";76012;228180
"357";"B23321";"b2-33-21";76012;228180
"358";"B23322";"b2-33-22";76012;228180
"359";"B23323";"b2-33-23";76012;228180
"360";"B23324";"b2-33-24";76012;228180
"361";"B23331";"b2-33-31";76012;228180
"362";"B23332";"b2-33-32";76012;228180
"363";"B23333";"b2-33-33";76012;228180
"364";"B23334";"b2-33-34";76012;228180
"365";"B23341";"b2-33-41";76012;228180
"366";"B23342";"b2-33-42";76012;228180
"367";"B23343";"b2-33-43";76012;228180
"368";"B23344";"b2-33-44";76012;228180
"369";"B23411";"b2-34-11";80012;228180
"370";"B23412";"b2-34-12";80012;228180
"371";"B23413";"b2-34-13";80012;228180
"372";"B23414";"b2-34-14";80012;228180
"373";"B23421";"b2-34-21";80012;228180
"374";"B23422";"b2-34-22";80012;228180
"375";"B23423";"b2-34-23";80012;228180
"376";"B23424";"b2-34-24";80012;228180
"377";"B23431";"b2-34-31";80012;228180
"378";"B23432";"b2-34-32";80012;228180
"379";"B23433";"b2-34-33";80012;228180
"380";"B23434";"b2-34-34";80012;228180
"381";"B23441";"b2-34-41";80012;228180
"382";"B23442";"b2-34-42";80012;228180
"383";"B23443";"b2-34-43";80012;228180
"384";"B23444";"b2-34-44";80012;228180
"385";"B24111";"b2-41-11";68012;224180
"386";"B24112";"b2-41-12";68012;224180
"387";"B24113";"b2-41-13";68012;224180
"388";"B24114";"b2-41-14";68012;224180
"389";"B24121";"b2-41-21";68012;224180
"390";"B24122";"b2-41-22";68012;224180
"391";"B24123";"b2-41-23";68012;224180
"392";"B24124";"b2-41-24";68012;224180
"393";"B24131";"b2-41-31";68012;224180
"394";"B24132";"b2-41-32";68012;224180
"395";"B24133";"b2-41-33";68012;224180
"396";"B24134";"b2-41-34";68012;224180
"397";"B24141";"b2-41-41";68012;224180
"398";"B24142";"b2-41-42";68012;224180
"399";"B24143";"b2-41-43";68012;224180
"400";"B24144";"b2-41-44";68012;224180
"401";"B24211";"b2-42-11";72012;224180
"402";"B24212";"b2-42-12";72012;224180
"403";"B24213";"b2-42-13";72012;224180
"404";"B24214";"b2-42-14";72012;224180
"405";"B24221";"b2-42-21";72012;224180
"406";"B24222";"b2-42-22";72012;224180
"407";"B24223";"b2-42-23";72012;224180
"408";"B24224";"b2-42-24";72012;224180
"409";"B24231";"b2-42-31";72012;224180
"410";"B24232";"b2-42-32";72012;224180
"411";"B24233";"b2-42-33";72012;224180
"412";"B24234";"b2-42-34";72012;224180
"413";"B24241";"b2-42-41";72012;224180
"414";"B24242";"b2-42-42";72012;224180
"415";"B24243";"b2-42-43";72012;224180
"416";"B24244";"b2-42-44";72012;224180
"417";"B24311";"b2-43-11";76012;224180
"418";"B24312";"b2-43-12";76012;224180
"419";"B24313";"b2-43-13";76012;224180
"420";"B24314";"b2-43-14";76012;224180
"421";"B24321";"b2-43-21";76012;224180
"422";"B24322";"b2-43-22";76012;224180
"423";"B24323";"b2-43-23";76012;224180
"424";"B24324";"b2-43-24";76012;224180
"425";"B24331";"b2-43-31";76012;224180
"426";"B24332";"b2-43-32";76012;224180
"427";"B24333";"b2-43-33";76012;224180
"428";"B24334";"b2-43-34";76012;224180
"429";"B24341";"b2-43-41";76012;224180
"430";"B24342";"b2-43-42";76012;224180
"431";"B24343";"b2-43-43";76012;224180
"432";"B24344";"b2-43-44";76012;224180
"433";"B24411";"b2-44-11";80012;224180
"434";"B24412";"b2-44-12";80012;224180
"435";"B24413";"b2-44-13";80012;224180
"436";"B24414";"b2-44-14";80012;224180
"437";"B24421";"b2-44-21";80012;224180
"438";"B24422";"b2-44-22";80012;224180
"439";"B24423";"b2-44-23";80012;224180
"440";"B24424";"b2-44-24";80012;224180
"441";"B24431";"b2-44-31";80012;224180
"442";"B24432";"b2-44-32";80012;224180
"443";"B24433";"b2-44-33";80012;224180
"444";"B24434";"b2-44-34";80012;224180
"445";"B24441";"b2-44-41";80012;224180
"446";"B24442";"b2-44-42";80012;224180
"447";"B24443";"b2-44-43";80012;224180
"448";"B24444";"b2-44-44";80012;224180
"449";"B25111";"b2-51-11";68012;220180
"450";"B25112";"b2-51-12";68012;220180
"451";"B25113";"b2-51-13";68012;220180
"452";"B25114";"b2-51-14";68012;220180
"453";"B25121";"b2-51-21";68012;220180
"454";"B25122";"b2-51-22";68012;220180
"455";"B25123";"b2-51-23";68012;220180
"456";"B25124";"b2-51-24";68012;220180
"457";"B25131";"b2-51-31";68012;220180
"458";"B25132";"b2-51-32";68012;220180
"459";"B25133";"b2-51-33";68012;220180
"460";"B25134";"b2-51-34";68012;220180
"461";"B25141";"b2-51-41";68012;220180
"462";"B25142";"b2-51-42";68012;220180
"463";"B25143";"b2-51-43";68012;220180
"464";"B25144";"b2-51-44";68012;220180
"465";"B25211";"b2-52-11";72012;220180
"466";"B25212";"b2-52-12";72012;220180
"467";"B25213";"b2-52-13";72012;220180
"468";"B25214";"b2-52-14";72012;220180
"469";"B25221";"b2-52-21";72012;220180
"470";"B25222";"b2-52-22";72012;220180
"471";"B25223";"b2-52-23";72012;220180
"472";"B25224";"b2-52-24";72012;220180
"473";"B25231";"b2-52-31";72012;220180
"474";"B25232";"b2-52-32";72012;220180
"475";"B25233";"b2-52-33";72012;220180
"476";"B25234";"b2-52-34";72012;220180
"477";"B25241";"b2-52-41";72012;220180
"478";"B25242";"b2-52-42";72012;220180
"479";"B25243";"b2-52-43";72012;220180
"480";"B25244";"b2-52-44";72012;220180
"481";"B25311";"b2-53-11";76012;220180
"482";"B25312";"b2-53-12";76012;220180
"483";"B25313";"b2-53-13";76012;220180
"484";"B25314";"b2-53-14";76012;220180
"485";"B25321";"b2-53-21";76012;220180
"486";"B25322";"b2-53-22";76012;220180
"487";"B25323";"b2-53-23";76012;220180
"488";"B25324";"b2-53-24";76012;220180
"489";"B25331";"b2-53-31";76012;220180
"490";"B25332";"b2-53-32";76012;220180
"491";"B25333";"b2-53-33";76012;220180
"492";"B25334";"b2-53-34";76012;220180
"493";"B25341";"b2-53-41";76012;220180
"494";"B25342";"b2-53-42";76012;220180
"495";"B25343";"b2-53-43";76012;220180
"496";"B25344";"b2-53-44";76012;220180
"497";"B25411";"b2-54-11";80012;220180
"498";"B25412";"b2-54-12";80012;220180
"499";"B25413";"b2-54-13";80012;220180
"500";"B25414";"b2-54-14";80012;220180
"501";"B25421";"b2-54-21";80012;220180
"502";"B25422";"b2-54-22";80012;220180
"503";"B25423";"b2-54-23";80012;220180
"504";"B25424";"b2-54-24";80012;220180
"505";"B25431";"b2-54-31";80012;220180
"506";"B25432";"b2-54-32";80012;220180
"507";"B25433";"b2-54-33";80012;220180
"508";"B25434";"b2-54-34";80012;220180
"509";"B25441";"b2-54-41";80012;220180
"510";"B25442";"b2-54-42";80012;220180
"511";"B25443";"b2-54-43";80012;220180
"512";"B25444";"b2-54-44";80012;220180
"513";"B25711";"b2-57-11";92012;220180
"514";"B25712";"b2-57-12";92012;220180
"515";"B25713";"b2-57-13";92012;220180
"516";"B25714";"b2-57-14";92012;220180
"517";"B25721";"b2-57-21";92012;220180
"518";"B25722";"b2-57-22";92012;220180
"519";"B25723";"b2-57-23";92012;220180
"520";"B25724";"b2-57-24";92012;220180
"521";"B25731";"b2-57-31";92012;220180
"522";"B25732";"b2-57-32";92012;220180
"523";"B25733";"b2-57-33";92012;220180
"524";"B25734";"b2-57-34";92012;220180
"525";"B25741";"b2-57-41";92012;220180
"526";"B25742";"b2-57-42";92012;220180
"527";"B25743";"b2-57-43";92012;220180
"528";"B25744";"b2-57-44";92012;220180
"529";"B25811";"b2-58-11";96012;220180
"530";"B25812";"b2-58-12";96012;220180
"531";"B25813";"b2-58-13";96012;220180
"532";"B25814";"b2-58-14";96012;220180
"533";"B25821";"b2-58-21";96012;220180
"534";"B25822";"b2-58-22";96012;220180
"535";"B25823";"b2-58-23";96012;220180
"536";"B25824";"b2-58-24";96012;220180
"537";"B25831";"b2-58-31";96012;220180
"538";"B25832";"b2-58-32";96012;220180
"539";"B25833";"b2-58-33";96012;220180
"540";"B25834";"b2-58-34";96012;220180
"541";"B25841";"b2-58-41";96012;220180
"542";"B25842";"b2-58-42";96012;220180
"543";"B25843";"b2-58-43";96012;220180
"544";"B25844";"b2-58-44";96012;220180
"545";"B35111";"b3-51-11";100012;220180
"546";"B35112";"b3-51-12";100012;220180
"547";"B35113";"b3-51-13";100012;220180
"548";"B35114";"b3-51-14";100012;220180
"549";"B35121";"b3-51-21";100012;220180
"550";"B35122";"b3-51-22";100012;220180
"551";"B35123";"b3-51-23";100012;220180
"552";"B35124";"b3-51-24";100012;220180
"553";"B35131";"b3-51-31";100012;220180
"554";"B35132";"b3-51-32";100012;220180
"555";"B35133";"b3-51-33";100012;220180
"556";"B35134";"b3-51-34";100012;220180
"557";"B35141";"b3-51-41";100012;220180
"558";"B35142";"b3-51-42";100012;220180
"559";"B35143";"b3-51-43";100012;220180
"560";"B35144";"b3-51-44";100012;220180
"561";"B35211";"b3-52-11";104012;220180
"562";"B35212";"b3-52-12";104012;220180
"563";"B35213";"b3-52-13";104012;220180
"564";"B35214";"b3-52-14";104012;220180
"565";"B35221";"b3-52-21";104012;220180
"566";"B35222";"b3-52-22";104012;220180
"567";"B35223";"b3-52-23";104012;220180
"568";"B35224";"b3-52-24";104012;220180
"569";"B35231";"b3-52-31";104012;220180
"570";"B35232";"b3-52-32";104012;220180
"571";"B35233";"b3-52-33";104012;220180
"572";"B35234";"b3-52-34";104012;220180
"573";"B35241";"b3-52-41";104012;220180
"574";"B35242";"b3-52-42";104012;220180
"575";"B35243";"b3-52-43";104012;220180
"576";"B35244";"b3-52-44";104012;220180
"577";"B41611";"b4-16-11";152012;236180
"578";"B41612";"b4-16-12";152012;236180
"579";"B41613";"b4-16-13";152012;236180
"580";"B41614";"b4-16-14";152012;236180
"581";"B41621";"b4-16-21";152012;236180
"582";"B41622";"b4-16-22";152012;236180
"583";"B41623";"b4-16-23";152012;236180
"584";"B41624";"b4-16-24";152012;236180
"585";"B41631";"b4-16-31";152012;236180
"586";"B41632";"b4-16-32";152012;236180
"587";"B41633";"b4-16-33";152012;236180
"588";"B41634";"b4-16-34";152012;236180
"589";"B41641";"b4-16-41";152012;236180
"590";"B41642";"b4-16-42";152012;236180
"591";"B41643";"b4-16-43";152012;236180
"592";"B41644";"b4-16-44";152012;236180
"593";"B41711";"b4-17-11";156012;236180
"594";"B41712";"b4-17-12";156012;236180
"595";"B41713";"b4-17-13";156012;236180
"596";"B41714";"b4-17-14";156012;236180
"597";"B41721";"b4-17-21";156012;236180
"598";"B41722";"b4-17-22";156012;236180
"599";"B41723";"b4-17-23";156012;236180
"600";"B41724";"b4-17-24";156012;236180
"601";"B41731";"b4-17-31";156012;236180
"602";"B41732";"b4-17-32";156012;236180
"603";"B41733";"b4-17-33";156012;236180
"604";"B41734";"b4-17-34";156012;236180
"605";"B41741";"b4-17-41";156012;236180
"606";"B41742";"b4-17-42";156012;236180
"607";"B41743";"b4-17-43";156012;236180
"608";"B41744";"b4-17-44";156012;236180
"609";"B41811";"b4-18-11";160012;236180
"610";"B41812";"b4-18-12";160012;236180
"611";"B41813";"b4-18-13";160012;236180
"612";"B41814";"b4-18-14";160012;236180
"613";"B41821";"b4-18-21";160012;236180
"614";"B41822";"b4-18-22";160012;236180
"615";"B41823";"b4-18-23";160012;236180
"616";"B41824";"b4-18-24";160012;236180
"617";"B41831";"b4-18-31";160012;236180
"618";"B41832";"b4-18-32";160012;236180
"619";"B41833";"b4-18-33";160012;236180
"620";"B41834";"b4-18-34";160012;236180
"621";"B41841";"b4-18-41";160012;236180
"622";"B41842";"b4-18-42";160012;236180
"623";"B41843";"b4-18-43";160012;236180
"624";"B41844";"b4-18-44";160012;236180
"625";"B42611";"b4-26-11";152012;232180
"626";"B42612";"b4-26-12";152012;232180
"627";"B42613";"b4-26-13";152012;232180
"628";"B42614";"b4-26-14";152012;232180
"629";"B42621";"b4-26-21";152012;232180
"630";"B42622";"b4-26-22";152012;232180
"631";"B42623";"b4-26-23";152012;232180
"632";"B42624";"b4-26-24";152012;232180
"633";"B42631";"b4-26-31";152012;232180
"634";"B42632";"b4-26-32";152012;232180
